Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-November-2015,882.00,960.00,882.00,913.25,916.849419831223628691,15168,1151,13906772.00,4588,30.25,78.00,31.25
19-November-2015,869.70,881.95,866.00,877.95,873.651214128035320088,3624,199,3166112.00,2271,62.67,15.95,8.25
18-November-2015,861.60,861.60,846.10,850.00,850.664469230995614938,33979,304,28904728.00,31415,92.45,15.50,-11.60
17-November-2015,864.00,875.00,857.90,862.75,862.853293413173652694,1002,97,864579.00,456,45.51,17.10,-1.25
16-November-2015,851.00,875.15,851.00,856.75,867.099878689850384148,2473,172,2144338.00,1144,46.26,24.15,5.75
13-November-2015,880.00,880.00,852.25,856.05,867.896800230614009801,3469,339,3010734.00,1058,30.50,27.75,-23.95
11-November-2015,889.80,889.80,870.10,882.80,881.604485219164118246,981,60,864854.00,714,72.78,19.70,-7.00
10-November-2015,890.15,890.50,854.45,864.95,867.222989776181265542,7238,323,6276960.00,3496,48.30,36.05,-25.20
9-November-2015,865.00,896.05,865.00,884.70,884.688221709006928406,2598,207,2298420.00,905,34.83,31.05,19.70
6-November-2015,857.00,898.30,857.00,882.75,884.626923076923076923,3120,321,2760036.00,1023,32.79,41.30,25.75
5-November-2015,869.00,880.00,853.90,855.65,863.153778730035060381,30804,358,26588589.00,945,3.07,26.10,-13.35
4-November-2015,895.20,907.30,865.05,874.70,884.153783231083844580,2445,234,2161756.00,989,40.45,42.25,-20.50
3-November-2015,894.25,902.45,880.00,894.15,881.292191435768261964,14292,298,12595428.00,12342,86.36,22.45,-0.10
2-November-2015,907.00,907.00,881.85,894.70,893.621814930710773357,2237,275,1999032.00,598,26.73,25.15,-12.30
30-October-2015,891.00,919.70,844.00,906.75,908.678587909552376557,8668,369,7876426.00,1339,15.45,75.70,15.75
29-October-2015,898.00,913.00,895.00,899.50,906.318445170125355525,9493,554,8603681.00,3321,34.98,18.00,1.50
28-October-2015,898.00,907.35,887.00,897.20,896.921467556094602789,3298,182,2958047.00,903,27.38,20.35,-0.80
27-October-2015,893.35,896.90,883.30,891.75,892.535061873895109015,3394,307,3029264.00,912,26.87,13.60,-1.60
26-October-2015,887.25,895.00,879.25,887.55,886.896663954434499593,3687,305,3269988.00,1373,37.24,15.75,0.30
23-October-2015,890.00,891.15,875.00,877.20,879.420739270652443562,4031,220,3544945.00,1549,38.43,16.15,-12.80
21-October-2015,921.75,924.80,875.80,884.15,892.888254731150495644,6658,605,5944850.00,1781,26.75,49.00,-37.60
20-October-2015,892.25,923.00,892.25,916.15,909.014295139652518143,54564,3674,49599456.00,15301,28.04,30.75,23.90
19-October-2015,887.00,896.80,887.00,892.40,892.896726290921363482,11852,568,10582612.00,5635,47.54,9.80,5.40
16-October-2015,877.50,885.00,861.85,877.75,873.581603435934144595,2794,282,2440787.00,784,28.06,23.15,0.25
15-October-2015,856.00,885.00,856.00,871.15,873.321127673363577446,21602,946,18865483.00,11890,55.04,29.00,15.15
14-October-2015,820.00,846.00,817.15,842.90,838.624706376876097223,40443,719,33916499.00,32277,79.81,28.85,22.90
13-October-2015,815.00,819.65,805.40,812.40,813.308818011257035647,2665,243,2167468.00,2011,75.46,14.25,-2.60
12-October-2015,812.45,815.00,802.00,807.55,807.648090523338048090,3535,109,2855036.00,2159,61.07,13.00,-4.90
9-October-2015,802.00,815.00,795.10,800.70,803.814534343031752358,7527,265,6050312.00,6445,85.63,19.90,-1.30
8-October-2015,806.50,810.00,795.70,800.00,803.128219643362581375,3533,160,2837452.00,1227,34.73,14.30,-6.50
7-October-2015,802.00,813.00,794.85,797.50,800.402767415044427864,14743,193,11800338.00,5904,40.05,18.15,-4.50
6-October-2015,825.00,825.00,805.55,809.40,812.937598639217199172,114052,207,92717159.00,112490,98.63,19.45,-15.60
5-October-2015,810.00,812.70,790.00,806.80,800.419897585954645208,2734,178,2188348.00,1179,43.12,22.70,-3.20
1-October-2015,802.85,808.45,790.00,800.15,800.466489195114312558,6386,340,5111779.00,2805,43.92,18.45,-2.70
30-September-2015,771.15,803.00,771.00,796.15,788.309417040358744394,1784,151,1406344.00,809,45.35,32.00,25.00
29-September-2015,774.90,783.25,770.00,777.25,777.078061224489795918,1960,147,1523073.00,745,38.01,13.25,2.35
28-September-2015,792.90,797.70,774.05,776.50,784.332404181184668989,2870,182,2251034.00,1154,40.21,23.65,-16.40
24-September-2015,773.95,798.45,762.60,787.45,785.059305910356824690,355833,355,279350008.00,351706,98.84,35.85,13.50
23-September-2015,765.45,776.95,760.00,775.75,768.547235829251224632,2858,176,2196508.00,1416,49.55,16.95,10.30
22-September-2015,775.60,785.00,754.30,765.05,770.501961483594864479,5608,328,4320975.00,2014,35.91,30.70,-10.55
21-September-2015,779.00,780.00,770.00,774.80,774.407764995891536565,4868,524,3769817.00,2209,45.38,10.00,-4.20
18-September-2015,702.00,777.90,702.00,768.50,756.402297158003239581,6791,443,5136728.00,3364,49.54,75.90,66.50
16-September-2015,708.65,722.45,708.65,717.45,716.813309776207302709,1698,158,1217149.00,956,56.30,13.80,8.80
15-September-2015,702.00,711.55,702.00,703.45,705.686695278969957081,233,20,164425.00,98,42.06,9.55,1.45
14-September-2015,705.45,709.00,694.50,698.35,704.158894645941278065,579,45,407708.00,197,34.02,14.50,-7.10
11-September-2015,708.90,720.00,700.10,702.80,705.939267886855241264,1202,75,848539.00,838,69.72,19.90,-6.10
10-September-2015,692.70,717.45,692.60,704.85,704.136682906417192216,33457,168,23558301.00,31671,94.66,24.85,12.15
9-September-2015,692.00,715.00,692.00,701.75,705.443301834352418010,3598,187,2538185.00,1946,54.09,23.00,9.75
8-September-2015,675.00,700.00,673.10,694.70,694.570620231445989851,27393,302,19026373.00,23981,87.54,26.90,19.70
7-September-2015,689.00,692.75,678.50,679.85,684.222408552562624462,9541,280,6528166.00,8360,87.62,14.25,-9.15
4-September-2015,692.00,704.00,685.05,687.40,688.020865773902211149,3211,352,2209235.00,2407,74.96,18.95,-4.60
3-September-2015,685.00,700.75,685.00,695.70,696.024844720496894409,2415,152,1680900.00,1464,60.62,15.75,10.70
2-September-2015,682.00,690.00,675.05,680.50,682.494333843797856049,3265,263,2228344.00,1940,59.42,14.95,-1.50
1-September-2015,680.00,689.00,677.00,680.75,680.301845018450184501,6775,211,4609045.00,3071,45.33,12.00,0.75
31-August-2015,690.00,695.00,675.05,685.65,688.899154507023046502,14666,216,10103395.00,12886,87.86,19.95,-4.35
28-August-2015,691.50,691.80,676.25,683.40,683.130171668519204643,8097,596,5531305.00,5331,65.84,15.55,-8.10
27-August-2015,665.00,683.05,665.00,678.00,674.559135660401483186,15642,919,10551454.00,8140,52.04,18.05,13.00
26-August-2015,656.00,664.15,629.20,657.95,648.738232095696753145,6437,349,4175928.00,3267,50.75,34.95,1.95
25-August-2015,647.40,666.30,607.35,655.00,636.636953893973407010,28955,969,18433823.00,11846,40.91,58.95,7.60
24-August-2015,703.00,703.00,624.95,651.15,651.021914747335854245,11636,886,7575291.00,5278,45.36,78.05,-51.85
21-August-2015,721.00,725.05,703.00,709.75,711.835216313033893634,3629,250,2583250.00,1700,46.84,22.05,-11.25
20-August-2015,741.00,741.70,722.60,725.95,731.852764823451032644,3002,259,2197022.00,1854,61.76,19.10,-15.05
19-August-2015,740.35,745.65,740.05,741.55,742.029810298102981029,2583,138,1916663.00,1579,61.13,5.60,1.20
18-August-2015,743.95,750.10,737.10,744.70,744.348998774008990600,9788,347,7285688.00,2608,26.64,13.00,0.75
17-August-2015,749.00,757.90,737.00,740.40,745.132848837209302325,3440,340,2563257.00,1394,40.52,20.90,-8.60
14-August-2015,750.00,761.00,745.00,748.60,752.058954393770856507,2697,161,2028303.00,1201,44.53,16.00,-1.40
13-August-2015,757.30,761.45,745.30,749.05,751.034210526315789473,2280,143,1712358.00,1257,55.13,16.15,-8.25
12-August-2015,752.85,773.00,751.00,751.85,758.450591621362328110,3127,230,2371675.00,1674,53.53,22.00,-1.00
11-August-2015,766.50,766.95,754.00,759.15,758.513554216867469879,1992,184,1510959.00,737,37.00,12.95,-7.35
10-August-2015,762.00,775.00,760.95,764.60,769.111664870689655172,7424,364,5709885.00,2898,39.04,14.05,2.60
7-August-2015,782.30,782.30,757.05,762.00,775.610900310451879958,2899,271,2248496.00,1397,48.19,25.25,-20.30
6-August-2015,780.95,785.00,770.65,775.25,777.266257668711656441,6520,478,5067776.00,2715,41.64,14.35,-5.70
5-August-2015,755.25,777.00,753.50,771.30,767.640946575833632126,13945,1183,10704753.00,7277,52.18,23.50,16.05
4-August-2015,748.85,758.50,748.00,751.00,752.443825042881646655,2332,204,1754699.00,818,35.08,10.50,2.15
3-August-2015,753.75,753.75,745.00,746.45,747.229574223245109321,1738,121,1298685.00,1520,87.46,8.75,-7.30
31-July-2015,756.85,757.00,743.20,745.50,749.474264705882352941,2176,201,1630856.00,909,41.77,13.80,-11.35
30-July-2015,762.50,765.00,743.00,744.75,755.786882199925678186,5382,342,4067645.00,2410,44.78,22.00,-17.75
29-July-2015,757.25,764.90,752.55,760.80,760.732621535665606542,66030,285,50231175.00,62905,95.27,12.35,3.55
28-July-2015,761.00,761.50,748.25,754.05,760.285544734178098928,57294,309,43559800.00,51547,89.97,13.25,-6.95
27-July-2015,773.00,774.00,742.00,748.30,761.541083661504564851,78973,633,60141184.00,38111,48.26,32.00,-24.70
24-July-2015,767.00,767.50,749.45,764.00,766.717187160785799078,432986,658,331977808.00,424896,98.13,18.05,-3.00
23-July-2015,769.00,782.00,740.00,768.25,777.688022958117092802,562067,483,437112774.00,527823,93.91,42.00,-0.75
22-July-2015,780.00,780.00,765.00,768.45,772.632892804698972099,2043,171,1578489.00,1403,68.67,15.00,-11.55
21-July-2015,790.00,790.00,772.00,778.40,781.994301075268817204,9300,558,7272547.00,5849,62.89,18.00,-11.60
20-July-2015,787.00,793.00,761.80,774.75,779.352276000060632702,65971,3036,51414649.00,22502,34.11,31.20,-12.25
17-July-2015,785.00,792.00,776.35,787.05,785.953078667364381650,5733,409,4505869.00,2919,50.92,15.65,2.05
16-July-2015,762.50,786.00,762.50,782.75,777.972762645914396887,11308,522,8797316.00,7001,61.91,23.50,20.25
15-July-2015,753.00,770.00,748.50,769.55,759.297510551926230609,74394,907,56487179.00,57899,77.83,21.50,16.55
14-July-2015,755.00,755.95,740.00,751.10,749.683620689655172413,2320,272,1739266.00,1165,50.22,15.95,-3.90
13-July-2015,754.95,755.90,750.00,751.80,754.462989840348330914,4823,263,3638775.00,3552,73.65,5.90,-3.15
10-July-2015,756.45,757.00,743.10,749.70,752.144325971058644325,5252,407,3950262.00,2233,42.52,13.90,-6.75
9-July-2015,751.85,755.00,746.55,749.05,751.252694336161430864,8722,668,6552426.00,4412,50.58,8.45,-2.80
8-July-2015,730.00,755.00,726.40,751.55,739.597762017336485421,31725,908,23463739.00,24924,78.56,28.60,21.55
7-July-2015,733.00,740.00,727.00,730.20,734.572228051766351871,2859,233,2100142.00,1866,65.27,13.00,-2.80
6-July-2015,722.95,731.00,714.35,724.85,725.277629471436198611,1873,169,1358445.00,849,45.33,16.65,1.90
3-July-2015,727.20,735.00,720.35,723.65,725.984355828220858895,3260,223,2366709.00,2227,68.31,14.65,-3.55
2-July-2015,740.20,740.20,724.00,725.15,730.496373056994818652,7720,313,5639432.00,5682,73.60,16.20,-15.05
1-July-2015,736.60,742.00,735.00,739.70,739.576198630136986301,2336,125,1727650.00,1652,70.72,7.00,3.10
30-June-2015,733.80,746.40,725.00,731.10,736.933099713284485504,3139,273,2313233.00,1279,40.75,21.40,-2.70
29-June-2015,735.00,750.00,725.15,729.90,731.810073937153419593,4328,248,3167274.00,2553,58.99,24.85,-5.10
26-June-2015,753.00,756.25,746.55,750.05,750.100034244505771206,49643,322,37237216.00,46990,94.66,9.70,-2.95
25-June-2015,767.00,775.00,749.50,752.20,757.790175708605874054,7797,474,5908490.00,3415,43.80,25.50,-14.80
24-June-2015,762.55,767.05,758.60,762.55,763.281839622641509433,1696,117,1294526.00,872,51.42,8.45,0.00
23-June-2015,765.00,767.00,755.00,760.00,762.269941634241245136,2056,161,1567227.00,1297,63.08,12.00,-5.00
22-June-2015,762.45,764.25,759.00,761.75,761.991133004926108374,1015,116,773421.00,437,43.05,5.25,-0.70
19-June-2015,769.00,775.95,755.50,757.60,766.507166947723440134,2372,190,1818155.00,973,41.02,20.45,-11.40
18-June-2015,761.85,777.00,761.25,772.40,769.720659062103929024,3945,304,3036548.00,2401,60.86,15.75,10.55
17-June-2015,760.00,770.45,756.00,759.95,763.276337792642140468,2392,218,1825757.00,1002,41.89,14.45,-0.05
16-June-2015,755.80,760.00,750.00,755.05,753.380267214799588900,1946,111,1466078.00,1312,67.42,10.00,-0.75
15-June-2015,763.25,768.15,758.60,759.45,762.508688783570300157,633,67,482668.00,317,50.08,9.55,-3.80
12-June-2015,755.75,772.00,750.00,759.05,758.032234565652886541,5491,438,4162355.00,3239,58.99,22.00,3.30
11-June-2015,809.35,810.85,760.00,765.70,798.647974897974897974,51948,735,41488165.00,46634,89.77,50.85,-43.65
10-June-2015,822.00,822.00,805.50,807.75,810.652291105121293800,4823,338,3909776.00,2789,57.83,16.50,-14.25
9-June-2015,805.00,819.00,801.00,809.55,808.052787162162162162,2368,193,1913469.00,1081,45.65,18.00,4.55
8-June-2015,815.45,824.70,801.00,807.70,812.985294117647058823,1292,96,1050377.00,662,51.24,23.70,-7.75
5-June-2015,826.00,826.00,810.65,814.60,815.140518962075848303,2505,171,2041927.00,1133,45.23,15.35,-11.40
4-June-2015,823.25,823.25,810.00,817.10,815.847983212870132898,4289,251,3499172.00,2015,46.98,13.25,-6.15
3-June-2015,835.00,839.65,815.00,820.75,825.617512783053323593,10952,637,9042163.00,4279,39.07,24.65,-14.25
2-June-2015,850.10,861.45,835.00,845.25,851.931792009921162193,11289,464,9617458.00,3581,31.72,26.45,-4.85
1-June-2015,851.35,855.00,846.45,850.10,851.260507698709945900,4806,268,4091158.00,1623,33.77,8.55,-1.25
29-May-2015,833.00,853.95,831.95,847.15,847.039399963853244171,16599,758,14060007.00,5927,35.71,22.00,14.15
28-May-2015,829.85,832.10,820.90,829.00,827.627726510067114093,4768,266,3946129.00,2833,59.42,11.20,-0.85
27-May-2015,825.15,831.50,820.10,826.00,826.817342073897497020,3356,198,2774799.00,1620,48.27,11.40,0.85
26-May-2015,821.35,835.00,821.30,832.65,830.405118829981718464,2735,171,2271158.00,1396,51.04,13.70,11.30
25-May-2015,830.95,832.00,819.35,821.00,826.762507916402786573,1579,112,1305458.00,460,29.13,12.65,-9.95
22-May-2015,815.85,835.00,806.85,824.35,825.194322665497588776,9124,616,7529073.00,3511,38.48,28.15,8.50
21-May-2015,822.00,826.90,810.25,819.00,819.991356593232844945,9487,507,7779258.00,4568,48.15,16.65,-3.00
20-May-2015,786.00,843.80,786.00,812.40,822.389990158864051736,35565,2179,29248300.00,9811,27.59,57.80,26.40
19-May-2015,781.15,786.50,777.90,784.10,782.455326460481099656,1746,106,1366167.00,654,37.46,8.60,2.95
18-May-2015,778.00,783.40,767.25,781.15,774.852866038639629570,12526,476,9705807.00,1842,14.71,16.15,3.15
15-May-2015,773.10,778.80,766.85,773.70,772.460088365243004418,6790,435,5245004.00,2078,30.60,11.95,0.60
14-May-2015,760.00,771.00,750.00,764.20,760.318780758850611208,6299,408,4789248.00,800,12.70,21.00,4.20
13-May-2015,799.95,799.95,761.00,763.05,769.844642857142857142,3360,158,2586678.00,1552,46.19,38.95,-36.90
12-May-2015,785.00,785.00,763.45,771.55,771.080777096114519427,1956,93,1508234.00,466,23.82,21.55,-13.45
11-May-2015,769.50,787.95,766.00,783.25,778.341767371601208459,2648,175,2061049.00,1152,43.50,21.95,13.75
8-May-2015,764.00,776.40,762.40,765.20,766.429422920617718775,3691,439,2828891.00,1008,27.31,14.00,1.20
7-May-2015,778.00,778.00,746.40,762.15,760.319273199221284879,9246,958,7029912.00,2423,26.21,31.60,-15.85
6-May-2015,801.00,808.95,770.00,777.50,780.090226140283633576,13045,1530,10176277.00,2560,19.62,38.95,-23.50
5-May-2015,780.00,802.00,771.00,791.65,782.550954653937947494,8380,1014,6557777.00,2108,25.16,31.00,11.65
4-May-2015,774.00,790.00,773.00,779.10,779.950730846774193548,7936,960,6189689.00,2751,34.66,17.00,5.10
30-April-2015,762.00,773.45,745.10,769.80,764.976892430278884462,16315,2450,12480598.00,4546,27.86,28.35,7.80
29-April-2015,720.00,770.00,717.65,760.35,743.006191251632458926,62023,7312,46083473.00,9645,15.55,52.35,40.35
28-April-2015,716.00,730.05,708.00,721.65,719.368474404460212873,5919,1183,4257942.00,3487,58.91,22.05,5.65
27-April-2015,758.00,758.00,705.05,710.00,724.717618295726582794,39266,3936,28456762.00,23428,59.66,52.95,-48.00
24-April-2015,764.50,771.20,750.00,761.40,763.689199491740787801,3935,667,3005117.00,2060,52.35,21.20,-3.10
23-April-2015,780.00,784.55,773.90,778.95,780.892759769766737352,3301,347,2577727.00,2037,61.71,10.65,-1.05
22-April-2015,770.00,775.95,768.00,772.15,772.396893009270859433,3991,475,3082636.00,1966,49.26,7.95,2.15
21-April-2015,763.00,771.30,755.00,764.55,764.399947478991596638,3808,506,2910835.00,1480,38.87,16.30,1.55
20-April-2015,763.60,768.25,756.40,758.95,759.316986855409504550,1978,320,1501929.00,944,47.72,11.85,-4.65
17-April-2015,794.00,794.00,760.00,764.35,769.753073029645697758,5532,498,4258274.00,2145,38.77,34.00,-29.65
16-April-2015,761.45,773.00,760.50,768.25,768.176918199112238427,6308,699,4845660.00,3075,48.75,12.50,6.80
15-April-2015,775.00,775.00,750.00,757.65,759.550835845437106056,7298,603,5543202.00,4495,61.59,25.00,-17.35
13-April-2015,765.00,776.80,745.00,770.25,756.704030308968580573,15309,1448,11584382.00,6490,42.39,31.80,5.25
10-April-2015,785.00,788.05,760.00,768.15,769.870776347546259050,9944,1337,7655595.00,4778,48.05,28.05,-16.85
9-April-2015,777.55,780.70,760.75,774.40,771.215843569816996741,7978,1578,6152760.00,4596,57.61,19.95,-3.15
8-April-2015,782.80,784.75,768.00,774.95,774.469417526310305303,9597,1000,7432583.00,6564,68.40,16.75,-7.85
7-April-2015,782.65,785.20,775.90,778.30,780.029957446808510638,5875,401,4582676.00,4903,83.46,9.30,-4.35
6-April-2015,791.10,794.60,775.15,779.70,782.327927498211304555,4193,314,3280301.00,3105,74.05,19.45,-11.40
1-April-2015,806.50,808.00,780.00,784.85,788.464209629314017895,4694,496,3701051.00,2453,52.26,28.00,-21.65
31-March-2015,799.65,814.50,799.00,803.30,807.813883451287456708,6641,738,5364692.00,3497,52.66,15.50,3.65
30-March-2015,781.00,804.00,767.65,796.90,786.155746911269187570,5342,387,4199644.00,4275,80.03,36.35,15.90
27-March-2015,788.10,795.00,757.90,780.10,777.521536670547147846,4295,675,3339455.00,2386,55.55,37.10,-8.00
26-March-2015,770.00,786.75,770.00,781.90,781.283752860411899313,3496,431,2731368.00,2132,60.98,16.75,11.90
25-March-2015,796.10,796.10,775.25,779.25,785.227567567567567567,1850,447,1452671.00,533,28.81,20.85,-16.85
24-March-2015,782.00,794.00,765.00,785.40,785.043413396986423989,6703,989,5262146.00,2565,38.27,29.00,3.40
23-March-2015,793.00,804.90,773.00,781.20,796.186210465041071082,15461,1556,12309835.00,5622,36.36,31.90,-11.80
20-March-2015,770.00,783.95,745.00,776.95,769.520675158436343100,15937,1899,12263851.00,5661,35.52,38.95,6.95
19-March-2015,840.00,840.00,751.00,756.80,768.182236715902551314,15639,1651,12013602.00,5066,32.39,89.00,-83.20
18-March-2015,760.25,760.90,750.10,755.70,755.130463144161774298,6132,764,4630460.00,2780,45.34,10.80,-4.55
17-March-2015,770.00,775.00,761.50,768.00,768.169033315128345166,3662,431,2813035.00,1207,32.96,13.50,-2.00
16-March-2015,770.15,779.40,755.90,761.60,767.362404092071611253,3910,552,3000387.00,1931,49.39,23.50,-8.55
13-March-2015,771.90,785.75,764.00,767.40,768.345117550190953365,28541,554,21929338.00,26473,92.75,21.75,-4.50
12-March-2015,772.25,774.90,761.00,768.05,767.698232895333031264,4414,471,3388620.00,3447,78.09,13.90,-4.20
11-March-2015,770.65,787.20,762.50,764.45,771.094032549728752260,3871,545,2984905.00,1883,48.64,24.70,-6.20
10-March-2015,781.45,787.95,757.55,768.90,773.481118660135882445,6329,542,4895362.00,5199,82.15,30.40,-12.55
9-March-2015,806.00,806.00,775.65,780.35,782.876860910250957039,4702,627,3681087.00,2551,54.25,30.35,-25.65
5-March-2015,815.50,819.40,796.35,801.60,807.572525597269624573,2344,355,1892950.00,1315,56.10,23.05,-13.90
4-March-2015,825.00,825.00,800.00,803.05,810.041442989048743826,4657,429,3772363.00,2719,58.39,25.00,-21.95
3-March-2015,820.80,830.90,815.00,822.45,825.599413059427732942,8178,751,6751752.00,3171,38.77,15.90,1.65
2-March-2015,805.00,824.70,775.90,819.70,807.517080745341614906,11592,1176,9360738.00,3093,26.68,48.80,14.70
28-February-2015,822.90,829.90,790.50,802.00,811.783232936274287784,22079,2610,17923362.00,6300,28.53,39.40,-20.90
27-February-2015,780.00,817.75,776.00,813.15,803.076737543636940653,15755,1584,12652474.00,6598,41.88,41.75,33.15
26-February-2015,800.00,801.00,761.00,765.85,772.832927253741733379,2873,427,2220349.00,928,32.30,40.00,-34.15
25-February-2015,786.00,799.40,786.00,794.20,795.922744674585255718,10187,1549,8108065.00,4009,39.35,13.40,8.20
24-February-2015,753.00,787.90,750.40,782.70,776.400190680491002264,8391,1003,6514774.00,2541,30.28,37.50,29.70
23-February-2015,768.55,779.00,746.00,750.90,762.053170077155317007,5962,776,4543361.00,2249,37.72,33.00,-17.65
20-February-2015,764.30,769.05,744.00,747.35,752.490700218818380743,16452,1852,12379977.00,10993,66.82,25.05,-16.95
19-February-2015,803.50,803.50,761.25,769.40,786.948690728945506015,22608,1025,17791336.00,16916,74.82,42.25,-34.10
18-February-2015,818.00,822.00,790.85,803.35,804.754660381401328476,4667,636,3755790.00,1854,39.73,31.15,-14.65
16-February-2015,807.45,821.85,807.45,816.50,815.877717976318622174,4645,541,3789752.00,1910,41.12,14.40,9.05
13-February-2015,794.80,825.00,794.80,807.45,817.197793216183081324,12235,1399,9998415.00,3849,31.46,30.20,12.65
12-February-2015,798.30,800.00,785.00,794.80,795.143361581920903954,2832,454,2251846.00,1214,42.87,15.00,-3.50
11-February-2015,807.95,810.70,781.15,794.95,798.031369643077683092,8097,1174,6461660.00,2058,25.42,29.55,-13.00
10-February-2015,768.00,809.20,768.00,800.05,796.305826057756883814,11912,1349,9485595.00,2701,22.67,41.20,32.05
9-February-2015,750.50,817.00,746.65,770.15,790.825463275266854489,50402,5970,39859185.00,12900,25.59,70.35,19.65
6-February-2015,758.50,774.00,753.00,766.10,762.554908420081697193,37945,3137,28935146.00,15451,40.72,21.00,7.60
5-February-2015,722.00,751.90,722.00,749.60,745.077144351464435146,30592,1725,22793400.00,18798,61.45,29.90,27.60
4-February-2015,730.95,743.70,713.20,716.70,721.946706850926198177,13604,701,9821363.00,9935,73.03,30.50,-14.25
3-February-2015,733.25,746.00,722.80,729.40,738.942522925843021156,13849,1535,10233615.00,7639,55.16,23.20,-3.85
2-February-2015,728.05,730.35,717.30,729.05,727.311397058823529411,5440,501,3956574.00,1776,32.65,13.05,1.00
30-January-2015,731.00,734.90,723.95,727.30,727.204263442570792236,6286,582,4571206.00,2512,39.96,10.95,-3.70
29-January-2015,720.00,734.60,711.00,730.00,726.247883441622366607,10158,766,7377226.00,4303,42.36,23.60,10.00
28-January-2015,710.00,726.90,710.00,720.60,721.798386545429684829,14627,1635,10557745.00,6536,44.68,16.90,10.60
27-January-2015,701.70,715.00,700.10,709.55,707.358068965517241379,3625,429,2564173.00,1406,38.79,14.90,7.85
23-January-2015,729.00,736.20,690.05,701.45,714.336482156667771516,18102,1632,12930919.00,8271,45.69,46.15,-27.55
22-January-2015,740.00,742.00,721.70,728.90,731.862402265591331650,16243,1649,11887641.00,5255,32.35,20.30,-11.10
21-January-2015,705.00,741.75,701.10,735.85,723.122442908791359663,43702,5394,31601897.00,16985,38.87,40.65,30.85
20-January-2015,670.20,708.00,670.20,699.70,694.387099205950346768,39796,3755,27633829.00,13746,34.54,37.80,29.50
19-January-2015,657.15,673.00,657.15,671.85,667.949553211201099787,33461,2314,22350260.00,16073,48.04,15.85,14.70
16-January-2015,649.00,657.00,639.55,655.00,651.506439176441637273,24382,1236,15885030.00,13297,54.54,17.45,6.00
15-January-2015,654.00,654.00,636.10,640.95,643.953598765798374176,33706,2082,21705100.00,13600,40.35,17.90,-13.05
14-January-2015,629.40,644.60,622.20,637.80,635.265511543474213368,85936,7227,54592177.00,24841,28.91,22.40,8.40
13-January-2015,632.40,640.00,616.85,621.30,630.116771790600610155,53429,3029,33666509.00,12526,23.44,23.15,-11.10
12-January-2015,607.60,628.00,605.00,624.75,621.020809905563415194,330804,2298,205436168.00,313818,94.87,23.00,17.15
9-January-2015,600.00,610.00,597.20,599.70,603.284698118867035180,23337,404,14078855.00,20583,88.20,12.80,-0.30
8-January-2015,600.00,608.00,596.05,601.15,602.942653409661544641,9957,939,6003500.00,4329,43.48,11.95,1.15
7-January-2015,600.05,602.80,593.30,596.40,597.402502234137622877,5595,700,3342467.00,1746,31.21,9.50,-3.65
6-January-2015,619.00,619.00,591.00,593.45,601.311233671988388969,17225,1740,10357586.00,7559,43.88,28.00,-25.55
5-January-2015,625.10,638.35,615.10,618.40,627.140351746346296755,20185,1890,12658828.00,7467,36.99,23.25,-6.70
2-January-2015,603.95,621.35,601.50,618.20,610.849865951742627345,10071,886,6151869.00,5116,50.80,19.85,14.25
1-January-2015,591.10,604.00,579.85,602.45,597.074247719716989173,11731,975,7004278.00,4432,37.78,24.15,11.35
31-December-2014,566.20,597.80,562.40,588.85,588.302403377720038973,30790,1633,18113831.00,17800,57.81,35.40,22.65
30-December-2014,567.80,568.00,562.00,566.10,565.954590818363273453,2004,209,1134173.00,1106,55.19,6.00,-1.70
29-December-2014,562.50,569.00,561.00,566.10,565.532819492789656887,4022,332,2274573.00,2259,56.17,8.00,3.60
26-December-2014,557.50,561.65,551.10,556.20,558.736751941525810872,8756,455,4892299.00,2191,25.02,10.55,-1.30
24-December-2014,558.25,562.00,556.70,559.00,559.003795534085867797,101435,146,56702550.00,100630,99.21,5.30,0.75
23-December-2014,560.35,567.00,548.00,561.65,556.459545343436812515,4091,499,2276476.00,1353,33.07,19.00,1.30
22-December-2014,569.95,570.00,555.15,557.00,565.780328798185941043,21168,621,11976438.00,18323,86.56,14.85,-12.95
19-December-2014,545.00,569.00,545.00,562.50,558.554201977401129943,5664,652,3163651.00,2584,45.62,24.00,17.50
18-December-2014,562.15,565.00,540.80,544.00,549.623286840509399636,8245,750,4531644.00,4840,58.70,24.20,-18.15
17-December-2014,565.60,565.90,541.00,549.15,547.208260464815940851,371674,1775,203383083.00,361721,97.32,24.90,-16.45
16-December-2014,573.85,576.00,560.00,565.65,566.148397069695544055,14879,1405,8423722.00,10909,73.32,16.00,-8.20
15-December-2014,573.95,580.60,565.00,565.00,565.109366959573039544,204047,642,115308871.00,202196,99.09,15.60,-8.95
12-December-2014,584.60,584.85,570.50,573.60,577.974385964912280701,5700,1044,3294454.00,2586,45.37,14.35,-11.00
11-December-2014,590.00,590.00,575.00,576.35,579.358878504672897196,6955,529,4029441.00,4546,65.36,15.00,-13.65
10-December-2014,588.65,594.55,580.00,583.05,585.811204074208803201,2749,415,1610395.00,1656,60.24,14.55,-5.60
9-December-2014,586.00,594.00,581.30,585.10,586.870081662954714179,1347,225,790514.00,495,36.75,12.70,-0.90
