Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-July-2016,1218.00,1230.55,1210.50,1220.75,1212.592209388056033423,40690,66,49340377.00,40332,99.12,20.05,2.75
19-July-2016,1233.00,1233.00,1212.50,1214.35,1217.224742268041237113,1455,144,1771062.00,806,55.40,20.50,-18.65
18-July-2016,1245.00,1255.05,1220.95,1226.80,1232.479491833030852994,2755,186,3395481.00,1734,62.94,34.10,-18.20
15-July-2016,1250.00,1266.55,1237.85,1242.60,1249.637330080167305681,17214,532,21511257.00,11446,66.49,28.70,-7.40
14-July-2016,1235.00,1257.30,1235.00,1249.20,1254.664641327623126338,37360,251,46874271.00,35330,94.57,22.30,14.20
13-July-2016,1222.00,1249.90,1220.00,1239.40,1235.836561572175880107,7073,460,8741072.00,1745,24.67,29.90,17.40
12-July-2016,1225.00,1247.80,1215.00,1221.95,1230.843331829800030070,6651,421,8186339.00,873,13.13,32.80,-3.05
11-July-2016,1228.00,1239.95,1220.00,1223.75,1234.115706806282722513,1910,166,2357161.00,598,31.31,19.95,-4.25
8-July-2016,1200.00,1227.10,1200.00,1225.95,1219.494192799070847851,1722,126,2099969.00,904,52.50,27.10,25.95
7-July-2016,1209.90,1216.50,1201.00,1202.75,1206.873815165876777251,1688,205,2037203.00,904,53.55,15.50,-7.15
5-July-2016,1200.00,1217.00,1187.75,1212.70,1201.862631687667837223,4841,452,5818217.00,2547,52.61,29.25,12.70
4-July-2016,1204.25,1213.45,1193.95,1200.45,1200.781201160973431569,13437,467,16134897.00,10342,76.97,19.50,-3.80
1-July-2016,1208.95,1218.00,1190.70,1196.15,1206.739433551198257080,2295,143,2769467.00,837,36.47,27.30,-12.80
30-June-2016,1207.05,1207.05,1193.90,1200.90,1199.537864963503649635,2192,222,2629387.00,832,37.96,13.15,-6.15
29-June-2016,1181.95,1208.00,1175.45,1187.85,1189.914194299011052937,3438,180,4090925.00,2223,64.66,32.55,5.90
28-June-2016,1179.00,1185.00,1160.00,1168.70,1175.706036745406824146,762,104,895888.00,385,50.52,25.00,-10.30
27-June-2016,1195.00,1195.00,1162.00,1168.90,1174.500408830744071954,1223,133,1436414.00,544,44.48,33.00,-26.10
24-June-2016,1142.00,1223.10,1120.00,1194.65,1165.540142794696196998,6863,654,7999102.00,3175,46.26,103.10,52.65
23-June-2016,1160.00,1174.60,1145.00,1149.70,1160.547497446373850868,4895,326,5680880.00,1873,38.26,29.60,-10.30
22-June-2016,1183.20,1191.45,1161.00,1167.60,1176.320257611241217798,1708,187,2009155.00,266,15.57,30.45,-15.60
